# log T	log cool/n2	log heat/n2
1.00	-28.891	-27.274
1.10	-28.666	-27.274
1.20	-28.469	-27.274
1.30	-28.293	-27.274
1.40	-28.137	-27.274
1.50	-27.998	-27.274
1.60	-27.869	-27.274
1.70	-27.743	-27.274
1.80	-27.606	-27.274
1.90	-27.447	-27.274
2.00	-27.259	-27.274
2.10	-27.055	-27.274
2.20	-26.850	-27.274
2.30	-26.657	-27.274
2.40	-26.484	-27.274
2.50	-26.332	-27.274
2.60	-26.200	-27.274
2.70	-26.083	-27.274
2.80	-25.978	-27.274
2.90	-25.884	-27.274
3.00	-25.799	-27.274
3.10	-25.720	-27.274
3.20	-25.650	-27.274
3.30	-25.587	-27.273
3.40	-25.522	-27.272
3.50	-25.452	-27.271
3.60	-25.371	-27.270
3.70	-25.269	-27.269
3.80	-25.138	-27.267
3.90	-24.961	-27.263
4.00	-24.615	-27.254
4.10	-23.452	-27.217
4.20	-22.011	-27.058
4.30	-21.815	-28.065
4.40	-21.937	-28.323
4.50	-21.963	-28.458
4.60	-21.892	-28.450
4.70	-21.737	-28.216
4.80	-21.529	-27.894
4.90	-21.342	-27.682
5.00	-21.278	-27.041
5.10	-21.325	-27.063
5.20	-21.325	-27.216
5.30	-21.300	-27.381
5.40	-21.291	-27.473
5.50	-21.466	-27.473
5.60	-21.674	-27.517
5.70	-21.725	-27.513
5.80	-21.778	-27.481
5.90	-21.807	-27.430
6.00	-21.814	-27.306
6.10	-21.837	-27.251
6.20	-21.892	-27.241
6.30	-22.070	-27.045
6.40	-22.252	-27.016
6.50	-22.387	-27.137
6.60	-22.467	-27.197
6.70	-22.497	-27.184
6.80	-22.503	-27.199
6.90	-22.493	-27.245
7.00	-22.491	-27.296
7.10	-22.535	-27.335
7.20	-22.611	-27.361
7.30	-22.658	-27.401
7.40	-22.670	-27.454
7.50	-22.660	-27.498
7.60	-22.634	-27.508
7.70	-22.601	-27.460
7.80	-22.564	-27.367
7.90	-22.526	-27.304
8.00	-22.489	-27.403
8.10	-22.450	-27.500
8.20	-22.410	-27.596
8.30	-22.369	-27.690
8.40	-22.324	-27.783
8.50	-22.280	-27.876
8.60	-22.231	-27.967
8.70	-22.183	-28.058
8.80	-22.132	-28.145
8.90	-22.079	-28.230
9.00	-22.026	-28.309
