# log T	log cool/n2	log heat/n2
1.00	-25.658	-21.845
1.10	-25.551	-21.876
1.20	-25.402	-21.908
1.30	-25.208	-21.940
1.40	-24.997	-21.974
1.50	-24.796	-22.007
1.60	-24.620	-22.042
1.70	-24.472	-22.076
1.80	-24.347	-22.111
1.90	-24.236	-22.145
2.00	-24.130	-22.180
2.10	-24.027	-22.214
2.20	-23.926	-22.247
2.30	-23.832	-22.279
2.40	-23.749	-22.311
2.50	-23.677	-22.341
2.60	-23.617	-22.370
2.70	-23.567	-22.398
2.80	-23.526	-22.424
2.90	-23.494	-22.448
3.00	-23.471	-22.471
3.10	-23.455	-22.492
3.20	-23.447	-22.511
3.30	-23.445	-22.528
3.40	-23.447	-22.544
3.50	-23.451	-22.559
3.60	-23.451	-22.572
3.70	-23.438	-22.584
3.80	-23.403	-22.594
3.90	-23.323	-22.603
4.00	-23.190	-22.611
4.10	-23.012	-22.618
4.20	-22.796	-22.624
4.30	-22.549	-22.631
4.40	-22.298	-22.638
4.50	-22.088	-22.646
4.60	-21.917	-22.653
4.70	-21.743	-22.657
4.80	-21.551	-22.660
4.90	-21.371	-22.662
5.00	-21.293	-22.664
5.10	-21.330	-22.665
5.20	-21.329	-22.665
5.30	-21.303	-22.666
5.40	-21.295	-22.666
5.50	-21.470	-22.666
5.60	-21.676	-22.666
5.70	-21.726	-22.666
5.80	-21.779	-22.666
5.90	-21.808	-22.666
6.00	-21.815	-22.666
6.10	-21.837	-22.666
6.20	-21.893	-22.666
6.30	-22.071	-22.666
6.40	-22.255	-22.666
6.50	-22.399	-22.666
6.60	-22.495	-22.666
6.70	-22.540	-22.666
6.80	-22.555	-22.666
6.90	-22.545	-22.666
7.00	-22.543	-22.666
7.10	-22.559	-22.666
7.20	-22.614	-22.666
7.30	-22.657	-22.665
7.40	-22.668	-22.665
7.50	-22.657	-22.665
7.60	-22.630	-22.665
7.70	-22.596	-22.665
7.80	-22.558	-22.665
7.90	-22.518	-22.665
8.00	-22.480	-22.665
8.10	-22.440	-22.665
8.20	-22.399	-22.665
8.30	-22.355	-22.665
8.40	-22.309	-22.665
8.50	-22.263	-22.665
8.60	-22.212	-22.665
8.70	-22.161	-22.665
8.80	-22.108	-22.665
8.90	-22.052	-22.665
9.00	-21.996	-22.665
