#log T	log cool/n2
1.00	-27.891
1.10	-27.687
1.20	-27.420
1.30	-27.103
1.40	-26.781
1.50	-26.489
1.60	-26.234
1.70	-26.014
1.80	-25.819
1.90	-25.635
2.00	-25.456
2.10	-25.279
2.20	-25.112
2.30	-24.962
2.40	-24.830
2.50	-24.719
2.60	-24.625
2.70	-24.547
2.80	-24.482
2.90	-24.425
3.00	-24.375
3.10	-24.331
3.20	-24.289
3.30	-24.245
3.40	-24.195
3.50	-24.131
3.60	-24.051
3.70	-23.952
3.80	-23.826
3.90	-23.647
4.00	-23.329
4.10	-22.723
4.20	-22.008
4.30	-21.820
4.40	-21.936
4.50	-21.957
4.60	-21.884
4.70	-21.733
4.80	-21.527
4.90	-21.341
5.00	-21.276
5.10	-21.322
5.20	-21.324
5.30	-21.300
5.40	-21.291
5.50	-21.465
5.60	-21.674
5.70	-21.725
5.80	-21.778
5.90	-21.807
6.00	-21.814
6.10	-21.837
6.20	-21.892
6.30	-22.070
6.40	-22.252
6.50	-22.387
6.60	-22.467
6.70	-22.497
6.80	-22.503
6.90	-22.493
7.00	-22.491
7.10	-22.535
7.20	-22.611
7.30	-22.658
7.40	-22.670
7.50	-22.660
7.60	-22.634
7.70	-22.601
7.80	-22.564
7.90	-22.526
8.00	-22.489
8.10	-22.450
8.20	-22.410
8.30	-22.369
8.40	-22.324
8.50	-22.280
8.60	-22.231
8.70	-22.183
8.80	-22.132
8.90	-22.079
9.00	-22.026
